Scores,La Libertad Avanza,Union por la Patria,Inicio,Final
-96.28999999999995,48.2,51.8,2023-10-23,2023-10-24
-140.78500000000005,48.2,51.8,2023-10-23,2023-10-25
-47.45,49.0,51.0,2023-10-23,2023-10-29
-38.090000000000025,49.3,50.7,2023-10-25,2023-10-27
-17.210000000000004,50.4,49.6,2023-10-25,2023-11-08
-45.04625000000001,50.8,49.2,2023-10-26,2023-11-03
-34.625,50.1,49.9,2023-10-28,2023-10-29
-22.713888888888885,51.5,48.5,2023-11-01,2023-11-03
-39.625,51.6,48.4,2023-11-01,2023-11-06
-13.139999999999983,51.5,48.5,2023-11-02,2023-11-03
-28.10000000000001,51.5,48.5,2023-11-02,2023-11-04
-49.38624999999999,51.6,48.4,2023-11-03,2023-11-05
-7.4449999999999905,52.1,47.9,2023-11-03,2023-11-07
-2.6499999999999937,52.1,47.9,2023-11-04,2023-11-06
-23.481249999999953,52.3,47.7,2023-11-05,2023-11-09
-31.86249999999993,52.3,47.7,2023-11-06,2023-11-08
-13.520000000000021,52.3,47.7,2023-11-07,2023-11-08
-12.96000000000001,52.8,47.2,2023-11-10,2023-11-11
-17.330000000000002,53.4,46.6,2023-11-13,2023-11-13
-1.5625,54.4,45.6,2023-11-19,2023-11-19
