Fuente,Cantidad,Tipo
infobae,22106,Normal
lanacioncom,17334,Normal
diario.ole,17217,Normal
clarincom,15967,Normal
pagina12,15108,Normal
todonoticias,14319,Normal
c5n,14092,Normal
canal26,11515,Normal
a24noticias,11145,Normal
filonewsok,10912,Normal
canal9oficial,8106,Normal
eldestapeweb,7373,Normal
cronicaweb,5610,Normal
tv_publica,3554,Normal
minutouno,2741,Normal
lanacioncom,2321,Political
infobae,1704,Political
clarincom,1657,Political
c5n,1072,Political
a24noticias,1008,Political
pagina12,923,Political
eldestapeweb,871,Political
cronicaweb,861,Political
todonoticias,785,Political
filonewsok,705,Political
canal26,417,Political
tv_publica,287,Political
minutouno,106,Political
canal9oficial,98,Political
diario.ole,94,Political
