Nombre_partido,Cantidad_votos,total_votantes,tipo,anio
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,8424749,21936472,PASO,2015
ALIANZA CAMBIEMOS                                                                                   ,6595914,21936472,PASO,2015
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,4525497,21936472,PASO,2015
ALIANZA PROGRESISTAS                                                                                ,769316,21936472,PASO,2015
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,726054,21936472,PASO,2015
ALIANZA COMPROMISO FEDERAL                                                                          ,462304,21936472,PASO,2015
ALIANZA FRENTE POPULAR                                                                              ,109141,21936472,PASO,2015
MOVIMIENTO AL SOCIALISMO                                                                            ,102969,21936472,PASO,2015
MST - NUEVA IZQUIERDA                                                                               ,96414,21936472,PASO,2015
PARTIDO POPULAR                                                                                     ,82900,21936472,PASO,2015
MOVIMIENTO DE ACCION VECINAL                                                                        ,41214,21936472,PASO,2015
