a24noticias_means,canal26_means,filonewsok_means,canal9oficial_means,diario.ole_means,infobae_means,lanacioncom_means,pagina12_means,tv_publica_means,c5n_means,clarincom_means,todonoticias_means,eldestapeweb_means,cronicaweb_means,minutouno_means,a24noticias_amount,canal26_amount,filonewsok_amount,canal9oficial_amount,diario.ole_amount,infobae_amount,lanacioncom_amount,pagina12_amount,tv_publica_amount,c5n_amount,clarincom_amount,todonoticias_amount,eldestapeweb_amount,cronicaweb_amount,minutouno_amount,Target
19.0,4.0,9.0,0.0,0.0,20.0,26.0,30.0,8.0,37.0,18.0,26.0,19.0,16.0,0.0,0.0,13031.8,9340.692307692309,10063.633333333333,3161.5,10287.945945945947,12296.888888888889,50554.53846153846,10231.894736842105,2815.625,0.0,0.0,0.0,0.0,0.0,0.0
17.0,2.0,7.0,1.0,0.0,23.0,56.0,60.0,12.0,49.0,32.0,18.0,51.0,18.0,10605.0,976.0,0.0,13330.347826086956,9394.375,12489.616666666667,3880.4166666666665,8744.877551020409,9094.34375,41143.27777777778,12946.274509803921,2013.3333333333333,0.0,0.0,0.0,0.0,-0.013823987538940827
0.0,0.0,2.0,0.0,0.0,3.0,14.0,10.0,4.0,11.0,9.0,4.0,15.0,3.0,17964.666666666668,8509.42857142857,10482.5,3906.0,9023.818181818182,5937.777777777777,33265.25,14619.333333333334,3719.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005923000987167056
2.0,0.0,2.0,0.0,0.0,5.0,25.0,20.0,4.0,15.0,14.0,6.0,27.0,6.0,0.0,12416.0,9864.6,11193.35,3906.0,7590.0,8253.857142857143,31278.833333333332,12720.74074074074,2249.5,0.0,0.0,0.0,0.0,0.0,0.0,0.004143646408839796
0.0,0.0,1.0,0.0,0.0,1.0,6.0,5.0,1.0,7.0,5.0,3.0,8.0,2.0,14603.0,10252.666666666666,11638.6,11711.0,8170.857142857143,5101.2,29305.333333333332,12472.5,5034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005698565533503618
0.0,0.0,1.0,0.0,0.0,2.0,10.0,7.0,1.0,11.0,8.0,4.0,15.0,5.0,8060.0,10161.0,13266.714285714286,11711.0,6525.818181818182,5321.625,28457.0,9962.2,2481.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00664322000781562
0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,4.0,3.0,1.0,8.0,3.0,14287.333333333334,0.0,3647.0,5689.0,25912.0,6896.875,779.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006793478260869455
3.0,0.0,1.0,2.0,0.0,4.0,20.0,13.0,1.0,10.0,8.0,2.0,16.0,4.0,1.0,989.5,0.0,5187.25,10770.95,10785.615384615385,569.0,3787.6,10059.5,27306.0,8692.625,888.75,665.0,0.0,0.0,0.0,0.006362058993638045
2.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,0.0,0.0,2.0,1.0,5.0,10546.0,0.0,0.0,22523.5,28700.0,14903.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005363984674329387
5.0,0.0,2.0,2.0,0.0,9.0,25.0,13.0,1.0,23.0,9.0,2.0,14.0,4.0,4.0,989.5,0.0,13253.555555555555,10157.52,10195.384615384615,569.0,5190.869565217391,8824.666666666666,26147.5,9597.92857142857,1597.75,533.25,0.0,0.0,0.0,0.003810975609756152
2.0,0.0,1.0,2.0,0.0,5.0,12.0,7.0,1.0,15.0,6.0,1.0,6.0,2.0,2.0,989.5,0.0,10280.4,10418.0,10383.42857142857,569.0,3865.4666666666667,5689.333333333333,23595.0,6064.166666666667,1020.0,477.0,0.0,0.0,0.0,0.0018982536066818798
1.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,9.0,3.0,1.0,2.0,1.0,1.0,12360.0,12878.25,0.0,3854.8888888888887,5258.0,23595.0,10736.5,824.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007578628268283279
0.0,0.0,1.0,0.0,0.0,4.0,4.0,8.0,1.0,9.0,1.0,0.0,7.0,3.0,8907.0,16586.0,1339.0,11312.444444444445,4141.0,0.0,16567.714285714286,2132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003792188092529443
