,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_model__dropout_rate,param_optimizer__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,78.35855611165364,5.454081904929638,1.092180331548055,0.2414946282182596,16,300,0.0,0.05,"{'batch_size': 16, 'epochs': 300, 'model__dropout_rate': 0.0, 'optimizer__learning_rate': 0.05}",-2.137358100690314,-1.8545869207768912,-1.7586108514684557,-1.9168519576452203,0.16076913221644246,1
1,75.64748652776082,0.3103708524827448,0.8348217805226644,0.04602056211134635,16,300,0.1,0.05,"{'batch_size': 16, 'epochs': 300, 'model__dropout_rate': 0.1, 'optimizer__learning_rate': 0.05}",-2.1065696302512977,-2.146092638896662,-1.9982089876013909,-2.0836237522497836,0.06251548377829087,3
2,75.25437021255493,1.6427267905013918,0.817497730255127,0.1415006993908979,16,300,0.2,0.05,"{'batch_size': 16, 'epochs': 300, 'model__dropout_rate': 0.2, 'optimizer__learning_rate': 0.05}",-2.1404727392559915,-2.058863844695781,-2.0414210964365287,-2.0802525601294337,0.043173408847228624,2
3,72.82927823066711,0.8119539136988315,0.9871470928192139,0.21119889327147529,16,300,0.3,0.05,"{'batch_size': 16, 'epochs': 300, 'model__dropout_rate': 0.3, 'optimizer__learning_rate': 0.05}",-16.751672946386066,-16.78078262507771,-1.600611929214864,-11.711022500226212,7.149149752670448,7
4,73.91957378387451,0.33505558505484767,0.6125651200612386,0.013934217321030989,16,300,0.4,0.05,"{'batch_size': 16, 'epochs': 300, 'model__dropout_rate': 0.4, 'optimizer__learning_rate': 0.05}",-1.7198631097464978,-10.082942464172582,-2.0814943823179672,-4.628099985412349,3.8599804960984563,4
5,75.71009786923726,0.9312582863706084,1.043391466140747,0.06905752774287037,16,300,0.5,0.05,"{'batch_size': 16, 'epochs': 300, 'model__dropout_rate': 0.5, 'optimizer__learning_rate': 0.05}",-10.32436858566426,-17.890507615921344,-12.597413620767835,-13.604096607451146,3.169823647360962,8
6,75.01275523503621,0.22315109892780316,0.728705088297526,0.042274967928227304,16,300,0.6,0.05,"{'batch_size': 16, 'epochs': 300, 'model__dropout_rate': 0.6, 'optimizer__learning_rate': 0.05}",-9.003589624052555,-6.329404670844335,-6.164556877413376,-7.165850390770089,1.3012193809164758,5
7,75.6860249042511,0.6338586824114996,0.8143937587738037,0.1684667029747142,16,300,0.7,0.05,"{'batch_size': 16, 'epochs': 300, 'model__dropout_rate': 0.7, 'optimizer__learning_rate': 0.05}",-2.6857646400787365,-13.260688088875535,-9.451212627118966,-8.465888452024412,4.373053798319691,6
8,61.029571851094566,0.5819085108002605,0.6074569225311279,0.1549643211347498,16,300,0.8,0.05,"{'batch_size': 16, 'epochs': 300, 'model__dropout_rate': 0.8, 'optimizer__learning_rate': 0.05}",-17.8474688971122,-12.606200237695926,-16.32131030878322,-15.59165981453045,2.2010628755016373,9
9,60.771867195765175,0.04033416651439814,0.29620862007141113,0.033365645626553815,16,300,0.9,0.05,"{'batch_size': 16, 'epochs': 300, 'model__dropout_rate': 0.9, 'optimizer__learning_rate': 0.05}",-17.8474688971122,-13.207330200717475,-17.8294635563556,-16.294754218061758,2.183150833883552,10
